ID,Al2O3,CaO,Fe2O3,SiO2,MgO,Na2O+0.658K2O,LOI,Amorphous Alumina,Amorphous Silica,Sum of amorphous aluminosilicates
FA1,20.9,2.7,5.2,64.8,1.4,1.7,1.4,11,49,60
FA2,20.8,2.7,5,65,1.4,1.8,1.4,11,47,58
FA3,20.9,5.7,8.2,55.9,2,2.4,2.7,15,45,60
FA4,21.3,4,6.4,59.5,1.5,1.2,3.7,6,38,44
FA5,20.1,4.1,8.7,58.8,2,1.8,3.2,11,41,52
FA6,22.5,3.1,7.7,60.4,1.1,1.4,1.7,11,45,56
FA7,20,2.9,5.1,64.9,1.1,1.3,2.7,10,45,55
FA8,21.5,3.8,8.2,58.6,1.4,1.3,3,10,43,53
FA9,19.5,5.3,6,58.3,2.5,2.1,3.8,12,42,54
FA10,17.9,3.6,6,64.8,1.4,2,1.7,10,43,53
FA11,21.4,3.5,5.9,58.8,1.3,1.9,4.8,12,42,54
FA12,17.8,11.4,7.7,54.7,2,1.8,2.6,10,41,51
FA13,20.4,2.6,5,64.5,1.2,1.3,3,8,45,53
FA14,20.1,1.6,7.3,64.9,0.8,1.4,2,10,51,61
FA15,19.5,3.7,6.3,60.8,1.3,1.6,4,11,43,54
FA16,19.6,7.7,5.8,54.8,1.6,1.9,5.1,8,39,47
FA17,18,6.7,7.6,57.9,2,3.2,1.4,13,50,63
B,22.9,5.1,5.9,57.8,1.6,1.7,-,11,34,45.5
R-FA,20.7,4.3,5.4,61.3,1,1.1,4.3,9,36,44.67
P-FA,20.5,3.7,4.8,64.8,1.1,1.3,2,10,35,44.6
SamP,21.5,5.8,8.2,53.5,2,1.8,4.1,11,34,45.1
HD,19.6,4,3.7,65.2,0.9,1.5,3.3,9,37,46.5
Tipical,22.8,3.1,6,62.2,1,1.7,-,13,41,54
Raw,23.3,5,7.4,56.8,1.5,2,-,8,32,39.9
FA1,22.2,5.1,6.8,55.4,1.8,2.3,3.7,16,42,57.95
FA2,20,3.7,6.2,59.1,1.7,2.1,4.4,14,40,54.21
FA3,20,2.8,7.1,62.6,1.2,1.4,2.6,13,44,56.97
FA4,22,4.8,6.4,54,1.5,2.1,6.7,15,42,57.11
FA5,17.7,4.2,6.9,62.4,1.6,1.9,2.5,14,44,57.32
FA6,19,3.4,6.3,62.3,1.5,1.8,3.6,13,42,54.07
FA7,21.1,4.3,6.4,57.7,1.8,2.2,3.9,14,40,53.77
FA8,20.7,6.2,6.9,53,2.3,3.1,4.9,16,37,53.26
FA9,20.9,4.7,8.1,56.6,1.8,2.1,2.6,15,42,57.61
FA10,20.8,3.4,6.8,58.3,1.4,1.7,5.2,14,40,54.07
FA11,19.8,3.1,6.4,60,1.3,1.7,4.8,12,44,55.8
FA12,18.7,3.3,6.2,61.9,1.3,1.6,4.4,11,42,53.15
FA13,20.2,2.5,6.7,62.3,1.2,1.4,3.3,13,46,59.39
FA14,22.4,5.2,7.6,52.2,1.9,2.2,5.2,14,37,50.94
FA15,20.5,5.1,7.2,57.5,1.7,1.7,2.8,15,43,58.33
FA16,23,5.5,8.9,52.4,2.1,1.8,2.9,13,41,54.05
FA1,27.6,2.9,8,50.4,2,1.7,3.6,18,39,56.9
FA2,22.2,5.2,10.1,50.1,2,1.4,2.4,16,40,55.3
FA3,22,5.3,10.8,51.5,2,1.4,2.6,16,42,58.1
FA1,23.9,2,4.2,65.2,0.7,1,-,14,48,61.7
FA2,20,10.1,10.3,51.8,2,1.3,-,14,40,54.1
FA1,23.9,2,4.2,65.2,0.7,1,-,14,47,61.1
FA2,20,10.1,10.3,51.8,2,1.3,-,14,40,53.8
FA3,19.1,4,8.3,63.2,1.2,1.2,-,11,42,53.3
FA4,23.9,4.9,7.7,56,1.3,2,-,17,41,57.9
FA5,22.8,3.1,6,62.2,1,1.7,-,13,41,54
FA6,23.3,4.6,9.7,54.1,1.6,3.3,-,18,37,54.4
Raw FA,22.2,6.5,9.6,51.5,1.7,2.9,-,12,34,46.1
FA,28.4,4.9,6.6,51.7,1.5,2.7,-,21,38,59.33
FA-1,23.8,3.1,6.6,59.1,1.4,1.6,2.1,21,53,74.4
FA-2,25.5,6.5,8.5,48.3,1.7,2.3,3.8,18,40,58
FA-3,21.8,4.9,6.4,56.7,1.6,1.9,4.2,14,40,53.6
FA-4,21.7,5.8,7.8,54.7,2.1,1.4,3.6,15,42,56.7
FA-5,22.9,5.5,7.7,55.9,1.8,2.2,1.5,16,39,55.2
FA-6,21.2,3.9,6.3,62.7,1.5,0.8,1.7,17,50,66.7
FA,22.9,6.4,9,52,1.8,2.9,-,16,38,53.92
ND,20.1,3.4,5.6,53.7,0.9,1.9,-,10,39,48.58
SC,20.1,2.3,3.8,65.3,0.9,1.2,-,11,58,69.54
