ID,Al2O3,CaO,Fe2O3,SiO2,MgO,Na2O+0.658K2O,Amorphous_content
FA-1,29.5,1.1,4.6,53.8,0.7,1.85,72.65
FA-2,20.7,10.2,7.1,51.4,3,1.26,78.07
FA-3,17.8,10.6,7.6,55.3,2.3,1.02,73.29
FA-4,22.8,11.9,3.8,51.6,2,0.73,73.81
FA-5,21.6,13.6,4.3,42.9,2.5,8.36,84.9
FA-6,18.1,14.5,7.8,49.9,2.8,0.89,71.87
FA-7,21,15.3,5.1,45.7,3.6,1.33,77.03
FA-8,19.2,17.2,5.5,34.9,3.5,8.66,86.71
FA-9,18.9,21,6.5,37.4,4.3,1.46,74.71
FA-10,19.3,22.9,6.4,33.9,4.6,1.4,68
FA-11,18.4,23.1,6.6,34.4,4.6,1.46,65.55
FA-12,19.4,24.3,6,33.5,5.4,1.4,69.94
FA-13,18.6,24.7,6.4,31.8,4.4,1.3,72.13
FA-14,19.3,25.4,6,32.5,4.4,1.23,77.55
FA-15,19.5,25.5,5.6,30.8,4.5,1.4,75.74
FA-16,17.2,25.8,5.8,32,6.1,1.5,68.39
FA-17,17.3,26.6,5.8,30.9,7.8,1.53,49.03
FA-18,17.1,29.2,5.8,27.1,6.2,1.23,57.94
Ban.1-T,30.3,0.5,4.6,58.8,1.43,1.1,70.7
Ban.2-T,31,0.9,4.6,58.4,1.21,1.1,65.8
Roo.1-T,30.5,0.7,3.8,56.6,2.19,1.2,72.6
Roo.2-T,31.1,1.3,4.5,55.7,1.94,1,73.3
Nag.1-T,29.8,1.3,5.8,57.9,1.28,1,71.9
Nag.2-R,25,1.2,3.5,58,3.46,0.9,78
Nag.3-R,20.1,4.5,10.2,51,3.4,3,73.3
Alb.1-R,23,9.6,3.2,55.7,1.64,3.1,90.6
Alb.2-R,24,9.4,4.4,51.6,2,4,92.5
CRE_ref,30.2,4.9,5.1,48.6,1,1.45,60
PSE_ref,23.7,2.2,9,54.4,1.4,1.62,74
AT,21.6,12.3,4.2,47.7,2.7,2.49,88.3
BC,30.5,1.2,4.6,55.8,0.7,1.81,78.7
BBR,18.4,14.1,7.9,48.4,2.2,1.32,76.4
CE,16.4,11.2,6,54.1,4.1,2.45,87.2
CC,21,12.8,4.9,48.2,3.4,2.29,84.8
FO,25.1,5.6,5.6,59.4,0.9,0.86,61.4
LEGS,17.8,10.7,7.7,54.1,2.3,1.42,80.5
ML,19.9,9.4,8.7,54.8,2.4,1.32,77.9
A-FA-0,27.21,1.26,7.98,55.28,1.23,2.46,67.5
C1,17.4,26.45,7.15,35.44,5.73,2.25,55
C2,18.03,25.9,6.02,36.08,5.24,2.16,57
C3,20.44,21.35,6.29,40.08,4.56,1.93,59
F1,15.77,15.05,6.28,50.75,4.57,4.7,83
F2,20.45,12.71,5.62,53.97,2.84,1.3,75
F3,22.85,5.2,4.47,60.48,1.19,3,71
F4,27.71,1.64,6.35,57.98,1.07,2.27,63
FF,20.42,9.9,8.18,55.11,2.72,1.46,77.3
FA1,19.8,20.7,8.2,42.3,2.2,1.29,89.7
FA2,18.2,26.5,6.4,33.6,6.4,2.16,85.9
FA3,18,27.5,5.7,33.7,6.2,2.36,75.1
FA4,23.3,1.6,6.5,59.7,1,1.82,71.7
CFA,19.8,20.7,8.2,42.3,2.2,1.29,87.2
SFA,24.4,0.1,2.2,70.8,0.2,0.49,65.8
D,28.31,1.98,5,59.31,0.42,1.73,27.4
N,26.97,3.51,6.13,56.92,0.78,1.82,36.1
M,28.71,2.88,7.9,54.32,0.56,1.73,26.6
B,25.06,2.9,7.62,58.64,0.88,1.56,36.9
1,20.4,16,4.2,51.9,3.8,1.63,50.05
2,21,14.3,5.1,56.5,3.7,1.89,48.28
3,25.2,8.3,5,64.8,2,1.16,61.46
6,22.1,23.1,5.1,36.4,4.1,2.03,56
7,18.8,27.7,5.4,36,6.3,2.4,35
B,27.13,2.74,7.28,55.45,1.2,3.43,54.94
K,29.71,1.36,6.33,55.17,0.7,2.23,44.52
M,31.4,3.8,7.85,48.81,0.7,2.04,35.17
N,26.46,3.97,7.17,54.55,1.17,3.32,53.62
R,29.42,1.63,5.86,56.23,0.8,2.51,45.57
S,29.72,1.3,6.32,55.16,0.77,2.62,46.14
V,29.9,1.11,5.76,56.06,0.67,2.35,39.22
Narcea,23.3,4,6.9,55.2,2.5,3.2,86
Barrios,35.6,8.4,2.6,42.6,2.1,0.69,48
Escucha,26.7,2.3,12.3,49.5,0.9,1.55,56
Meirama,17.6,11.8,10.4,49.2,2,0.66,63
Teruel,23.9,5.4,16,48.3,1,1.12,63
Espiel,28.5,2,5.9,52.3,1.5,3.13,86
Compostilla,25.5,2.8,7.5,51.2,2,3.37,89
Robla,23.2,8.9,14.3,44.1,1.8,2.01,85
Ribera,30.6,3,7.2,48.9,1.6,3.17,74
Puertollano,27.4,0.8,7.3,58.6,1,1.88,65
Alkaline,24.8,6.8,9,46.8,3.7,2.52,63
Nijmegen,25,6.4,8.8,45.3,1.4,1.52,82
Neutral,26.1,3.1,7.4,53.3,0.6,0.49,80
CCB,27,0.5,3.3,59.6,0.9,2.21,80
Acid,28.9,1.8,8.4,51.3,1,2.15,83
Amer-8,26.5,6.1,7.1,45.2,1.6,1.59,78
Amer-9,25.8,5.6,7,52.4,1.6,1.62,77
Hemweg-8,26,2.4,8.6,53.2,1.6,2.28,84
Lignite,17.9,27.3,8.4,28.5,3.8,0.86,62
Fusina,25.9,2.3,8.8,48.2,1.5,2.21,72
Monfalcone,33.4,2.4,6.4,50.8,0.8,0.86,73
Sardegna,29,10,3.8,41.7,2.4,1.03,74
