ID,Al2O3,CaO,Fe2O3,SiO2,MgO,Na2O+0.658K2O,SiO2/Al2O3,Amorphous_content,n_c
FA-1,29.5,1.1,4.6,53.8,0.7,1.85,1.82,72.65,3.38
FA-2,20.7,10.2,7.1,51.4,3,1.26,2.48,78.07,3.09
FA-3,17.8,10.6,7.6,55.3,2.3,1.02,3.11,73.29,3.11
FA-4,22.8,11.9,3.8,51.6,2,0.73,2.26,73.81,3.09
FA-5,21.6,13.6,4.3,42.9,2.5,8.36,1.99,84.9,2.97
FA-6,18.1,14.5,7.8,49.9,2.8,0.89,2.76,71.87,3.04
FA-7,21,15.3,5.1,45.7,3.6,1.33,2.18,77.03,2.97
FA-8,19.2,17.2,5.5,34.9,3.5,8.66,1.82,86.71,2.87
FA-9,18.9,21,6.5,37.4,4.3,1.46,1.98,74.71,2.86
FA-10,19.3,22.9,6.4,33.9,4.6,1.4,1.76,68,2.73
FA-11,18.4,23.1,6.6,34.4,4.6,1.46,1.87,65.55,2.81
FA-12,19.4,24.3,6,33.5,5.4,1.4,1.73,69.94,2.67
FA-13,18.6,24.7,6.4,31.8,4.4,1.3,1.71,72.13,2.69
FA-14,19.3,25.4,6,32.5,4.4,1.23,1.68,77.55,2.63
FA-15,19.5,25.5,5.6,30.8,4.5,1.4,1.58,75.74,2.64
FA-16,17.2,25.8,5.8,32,6.1,1.5,1.86,68.39,2.59
FA-17,17.3,26.6,5.8,30.9,7.8,1.53,1.79,49.03,2.5
FA-18,17.1,29.2,5.8,27.1,6.2,1.23,1.58,57.94,2.61
Ban.1-T,30.3,0.5,4.6,58.8,1.43,1.1,1.94,70.7,3.17
Ban.2-T,31,0.9,4.6,58.4,1.21,1.1,1.88,65.8,3.17
Roo.1-T,30.5,0.7,3.8,56.6,2.19,1.2,1.86,72.6,3.16
Roo.2-T,31.1,1.3,4.5,55.7,1.94,1,1.79,73.3,3.14
Nag.1-T,29.8,1.3,5.8,57.9,1.28,1,1.94,71.9,3.17
Nag.2-R,25,1.2,3.5,58,3.46,0.9,2.32,78,3.27
Nag.3-R,20.1,4.5,10.2,51,3.4,3,2.54,73.3,3.15
Alb.1-R,23,9.6,3.2,55.7,1.64,3.1,2.42,90.6,3.16
Alb.2-R,24,9.4,4.4,51.6,2,4,2.15,92.5,3.15
CRE_ref,30.2,4.9,5.1,48.6,1,1.45,1.61,60,
PSE_ref,23.7,2.2,9,54.4,1.4,1.62,2.3,74,
AT,21.6,12.3,4.2,47.7,2.7,2.49,2.21,88.3,3.05
BC,30.5,1.2,4.6,55.8,0.7,1.81,1.83,78.7,3.07
BBR,18.4,14.1,7.9,48.4,2.2,1.32,2.63,76.4,3.37
CE,16.4,11.2,6,54.1,4.1,2.45,3.3,87.2,3.14
CC,21,12.8,4.9,48.2,3.4,2.29,2.3,84.8,2.99
FO,25.1,5.6,5.6,59.4,0.9,0.86,2.37,61.4,3.3
LEGS,17.8,10.7,7.7,54.1,2.3,1.42,3.04,80.5,3.09
ML,19.9,9.4,8.7,54.8,2.4,1.32,2.75,77.9,3.12
A-FA-0,27.21,1.26,7.98,55.28,1.23,2.46,2.03,67.5,3.35
C1,17.4,26.45,7.15,35.44,5.73,2.25,2.04,55,2.76
C2,18.03,25.9,6.02,36.08,5.24,2.16,2,57,2.76
C3,20.44,21.35,6.29,40.08,4.56,1.93,1.96,59,2.96
F1,15.77,15.05,6.28,50.75,4.57,4.7,3.22,83,3.08
F2,20.45,12.71,5.62,53.97,2.84,1.3,2.64,75,3
F3,22.85,5.2,4.47,60.48,1.19,3,2.65,71,3.24
F4,27.71,1.64,6.35,57.98,1.07,2.27,2.09,63,3.34
FF,20.42,9.9,8.18,55.11,2.72,1.46,2.7,77.3,3.07
FA1,19.8,20.7,8.2,42.3,2.2,1.29,2.14,89.7,2.98
FA2,18.2,26.5,6.4,33.6,6.4,2.16,1.85,85.9,2.68
FA3,18,27.5,5.7,33.7,6.2,2.36,1.87,75.1,2.76
FA4,23.3,1.6,6.5,59.7,1,1.82,2.56,71.7,3.38
Fly ash,20.42,9.9,8.18,55.11,2.72,0,2.7,77,3.07
CFA,19.8,20.7,8.2,42.3,2.2,1.29,2.14,87.2,3
SFA,24.4,0.1,2.2,70.8,0.2,0.49,2.9,65.8,3.48
D,28.31,1.98,5,59.31,0.42,1.73,2.1,27.4,3.09
N,26.97,3.51,6.13,56.92,0.78,1.82,2.11,36.1,2.91
M,28.71,2.88,7.9,54.32,0.56,1.73,1.89,26.6,3.05
B,25.06,2.9,7.62,58.64,0.88,1.56,2.34,36.9,3.1
1,20.4,16,4.2,51.9,3.8,1.63,2.54,50.05,2.59
2,21,14.3,5.1,56.5,3.7,1.89,2.69,48.28,2.75
3,25.2,8.3,5,64.8,2,1.16,2.57,61.46,3.12
6,22.1,23.1,5.1,36.4,4.1,2.03,1.65,56,2.57
7,18.8,27.7,5.4,36,6.3,2.4,1.91,35,2.54
B,27.13,2.74,7.28,55.45,1.2,3.43,2.04,54.94,3.13
K,29.71,1.36,6.33,55.17,0.7,2.23,1.86,44.52,3.23
M,31.4,3.8,7.85,48.81,0.7,2.04,1.55,35.17,3.02
N,26.46,3.97,7.17,54.55,1.17,3.32,2.06,53.62,3.08
R,29.42,1.63,5.86,56.23,0.8,2.51,1.91,45.57,3.18
S,29.72,1.3,6.32,55.16,0.77,2.62,1.86,46.14,3.21
V,29.9,1.11,5.76,56.06,0.67,2.35,1.87,39.22,3.2
Narcea,23.3,4,6.9,55.2,2.5,3.2,2.37,86,3.28
Barrios,35.6,8.4,2.6,42.6,2.1,0.69,1.2,48,3.16
Escucha,26.7,2.3,12.3,49.5,0.9,1.55,1.85,56,3.37
Meirama,17.6,11.8,10.4,49.2,2,0.66,2.8,63,3.12
Teruel,23.9,5.4,16,48.3,1,1.12,2.02,63,3.26
Espiel,28.5,2,5.9,52.3,1.5,3.13,1.84,86,3.28
Compostilla,25.5,2.8,7.5,51.2,2,3.37,2.01,89,3.26
Robla,23.2,8.9,14.3,44.1,1.8,2.01,1.9,85,3.16
Ribera,30.6,3,7.2,48.9,1.6,3.17,1.6,74,3.26
Puertollano,27.4,0.8,7.3,58.6,1,1.88,2.14,65,3.4
Alkaline,24.8,6.8,9,46.8,3.7,2.52,1.89,63,3.2
Nijmegen,25,6.4,8.8,45.3,1.4,1.52,1.81,82,3.15
Neutral,26.1,3.1,7.4,53.3,0.6,0.49,2.04,80,3.27
CCB,27,0.5,3.3,59.6,0.9,2.21,2.21,80,3.34
Acid,28.9,1.8,8.4,51.3,1,2.15,1.78,83,3.26
Amer-8,26.5,6.1,7.1,45.2,1.6,1.59,1.71,78,3.16
Amer-9,25.8,5.6,7,52.4,1.6,1.62,2.03,77,3.17
Hemweg-8,26,2.4,8.6,53.2,1.6,2.28,2.05,84,3.28
Lignite,17.9,27.3,8.4,28.5,3.8,0.86,1.59,62,2.63
Fusina,25.9,2.3,8.8,48.2,1.5,2.21,1.86,72,3.35
Monfalcone,33.4,2.4,6.4,50.8,0.8,0.86,1.52,73,3.31
Sardegna,29,10,3.8,41.7,2.4,1.03,1.44,74,3.09
FA1,20.9,2.73,5.15,64.8,1.39,1.72302,3.1,72.135,
FA2,20.8,2.68,5.03,65,1.38,1.77644,3.13,70.094,
FA3,20.9,5.74,8.22,55.9,1.95,2.3486,2.67,79.983,
FA4,21.3,3.99,6.41,59.5,1.46,1.24168,2.79,58.704,
FA5,20.1,4.13,8.71,58.8,1.95,1.82172,2.93,70.074,
FA6,22.5,3.09,7.67,60.4,1.1,1.43146,2.68,70.622,
FA7,20,2.86,5.05,64.9,1.07,1.33432,3.25,67.008,
FA8,21.5,3.82,8.19,58.6,1.39,1.29302,2.73,69.129,
FA9,19.5,5.34,6.01,58.3,2.46,2.05752,2.99,72.359,
FA10,17.9,3.63,5.95,64.8,1.4,1.9609,3.62,67.913,
FA11,21.4,3.5,5.94,58.8,1.32,1.85172,2.75,69.109,
FA12,17.8,11.4,7.71,54.7,1.98,1.78514,3.07,66.583,
FA13,20.4,2.63,4.98,64.5,1.24,1.31722,3.16,64.748,
FA14,20.1,1.55,7.25,64.9,0.82,1.36804,3.23,73.62,
FA15,19.5,3.72,6.31,60.8,1.3,1.56276,3.12,69.452,
FA16,19.6,7.7,5.81,54.8,1.63,1.90064,2.8,66.208,
FA17,18,6.66,7.55,57.9,2.02,3.20168,3.22,85.716,
A,23.8,3.1,6.62,59.1,1.41,1.5641,2.48,83.67,
B,25.5,6.49,8.5,48.3,1.67,2.32986,1.89,91.22,
C,21.8,4.94,6.39,56.7,1.6,1.88986,2.6,76,
D,20.4,10.6,4.3,42.1,1.09,2.14184,2.06,75.33,
E,21.7,5.8,7.83,54.7,2.13,1.36064,2.52,74.56,
F,22.9,5.45,7.7,55.9,1.8,2.19834,2.44,69.33,
G,21.2,3.9,6.34,62.7,1.46,0.79012,2.96,79.78,
H,21.6,5.14,7.46,47,1.91,3.0063,2.18,73.7,
