ID,Al2O3,CaO,Fe2O3,SiO2,MgO,Na2O+0.658K2O,Amorphous content
FA1,20.9,2.73,5.15,64.8,1.39,1.72,72.14
FA2,20.8,2.68,5.03,65,1.38,1.78,70.09
FA3,20.9,5.74,8.22,55.9,1.95,2.35,79.98
FA4,21.3,3.99,6.41,59.5,1.46,1.24,58.7
FA5,20.1,4.13,8.71,58.8,1.95,1.82,70.07
FA6,22.5,3.09,7.67,60.4,1.1,1.43,70.62
FA7,20,2.86,5.05,64.9,1.07,1.33,67.01
FA8,21.5,3.82,8.19,58.6,1.39,1.29,69.13
FA9,19.5,5.34,6.01,58.3,2.46,2.06,72.36
FA10,17.9,3.63,5.95,64.8,1.4,1.96,67.91
FA11,21.4,3.5,5.94,58.8,1.32,1.85,69.11
FA12,17.8,11.4,7.71,54.7,1.98,1.79,66.58
FA13,20.4,2.63,4.98,64.5,1.24,1.32,64.75
FA14,20.1,1.55,7.25,64.9,0.82,1.37,73.62
FA15,19.5,3.72,6.31,60.8,1.3,1.56,69.45
FA16,19.6,7.7,5.81,54.8,1.63,1.9,66.21
FA17,18,6.66,7.55,57.9,2.02,3.2,85.72
A,23.8,3.1,6.62,59.1,1.41,1.56,83.67
B,25.5,6.49,8.5,48.3,1.67,2.33,91.22
C,21.8,4.94,6.39,56.7,1.6,1.89,76
D,20.4,10.6,4.3,42.1,1.09,2.14,75.33
E,21.7,5.8,7.83,54.7,2.13,1.36,74.56
F,22.9,5.45,7.7,55.9,1.8,2.2,69.33
G,21.2,3.9,6.34,62.7,1.46,0.79,79.78
H,21.6,5.14,7.46,47,1.91,3.01,73.7
